File Name;Song Title;Author;Gender
"Wayne Wonder - No Letting Go.mp3";No Letting Go;Wayne Wonder;m
"B'Witched - C'est La Vie.mp3";C'EST LA VIE;B'WITCHED;F
"ALL SAINTS - NEVER EVER.mp3";NEVER EVER;ALL SAINTS;F
"Kranium - We Can (feat. Tory Lanez).mp3";We Can (feat. Tory Lanez);Kranium;m
"LEONA LEWIS - BLEEDING LOVE.mp3";BLEEDING LOVE;LEONA LEWIS;F
"Ed Sheeran - Shape of You.mp3";Shape of You;Ed Sheeran;m
"ZAYN - Dusk Till Dawn (feat. Sia).mp3";Dusk Till Dawn (feat. Sia);ZAYN;m
"Cashmere Cat - Mirror Maru.mp3";Mirror Maru;Cashmere Cat;f
"Taylor Swift - Our Song.mp3";Our Song;Taylor Swift;F
"Frank Sinatra - My Way.mp3";My Way;Frank Sinatra;m
"KATY PERRY - FIREWORK.mp3";FIREWORK;KATY PERRY;F
"Whitney Houston - How Will I Know.mp3";How Will I Know ;Whitney Houston;F
"KATY PERRY - ROAR.mp3";ROAR;KATY PERRY;F
"Lizz Wright - Seems I’m Never Tired Lovin’ You.mp3";Seems I’m Never Tired Lovin’ You;Lizz Wright;f
"Susan Tedeschi - Angel from Montgomery (Live).mp3";Angel from Montgomery (Live);Susan Tedeschi;f
"CARLY RAE JEPSEN - CALL ME MAYBE.mp3";CALL ME MAYBE;CARLY RAE JEPSEN;F
"DONNA SUMMER - I FEEL LOVE.mp3";I FEEL LOVE;DONNA SUMMER;F
"Damian Jr. Gong Marley - Welcome to Jamrock.mp3";Welcome to Jamrock;"Damian ""Jr. Gong"" Marley";m
"Jon Pardi - Heartache on the Dance Floor.mp3";Heartache on the Dance Floor;Jon Pardi;m
"Luke Bryan - Light It Up.mp3";Light It Up;Luke Bryan;m
"Brett Young - In Case You Didn't Know.mp3";In Case You Didn't Know;Brett Young;m
"Whitney Houston - Love Will Save the Day.mp3";Love Will Save the Day ;Whitney Houston;F
"Whitney Houston - Run to You.mp3";Run to You ;Whitney Houston;F
"Bryson Tiller - Run Me Dry.mp3";Run Me Dry;Bryson Tiller;m
"Whitney Houston - Exhale (Shoop Shoop).mp3";Exhale (Shoop Shoop) ;Whitney Houston;F
"Gregory Porter - Insanity (feat. Lalah Hathaway).mp3";Insanity (feat. Lalah Hathaway);Gregory Porter;m
"Whitney Houston - I'm Every Woman.mp3";I'm Every Woman ;Whitney Houston;F
"50 Cent - In Da Club.mp3";In Da Club;50 Cent;m
"Brett Young - Like I Loved You.mp3";Like I Loved You;Brett Young;m
"Kanye West - Mercy (RL Grime & Salva Remix).mp3";Mercy (RL Grime & Salva Remix);Kanye West;m
"MARIAH CAREY - ALL I WANT FOR CHRISTMAS IS YOU.mp3";ALL I WANT FOR CHRISTMAS IS YOU;MARIAH CAREY;F
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;m
"Nat King Cole - When I Fall In Love.mp3";When I Fall In Love;Nat King Cole;m
"Chris Brown - Questions.mp3";Questions;Chris Brown;m
"deadmau5 - Raise Your Weapon.mp3";Raise Your Weapon;deadmau5;m
"Whitney Houston - I Have Nothing.mp3";I Have Nothing ;Whitney Houston;F
"Marshmello - Alone.mp3";Alone;Marshmello;m
"Etta James - A Sunday Kind of Love.mp3";A Sunday Kind of Love;Etta James;f
"Thomas Rhett - Marry Me.mp3";Marry Me;Thomas Rhett;m
"Nick Jonas - Find You.mp3";Find You;Nick Jonas;m
"KYLIE MINOGUE - CAN'T GET YOU OUT OF MY HEAD.mp3";CAN'T GET YOU OUT OF MY HEAD;KYLIE MINOGUE;F
"Avicii - Levels.mp3";Levels;Avicii;m
"Whitney Houston - One Moment in Time.mp3";One Moment in Time ;Whitney Houston;F
"Stevie Wonder - As.mp3";As;Stevie Wonder;m
"Taylor Swift - Shake It Off.mp3";Shake It Off;Taylor Swift;F
"Khalid - Young Dumb & Broke.mp3";Young Dumb & Broke;Khalid;m
"Mitch King - Coming Back.mp3";Coming Back;Mitch King;m
"Lil Jon - Outta Your Mind (feat. LMFAO).mp3";Outta Your Mind (feat. LMFAO);Lil Jon;m
"Taylor Swift - The Outside.mp3";The Outside;Taylor Swift;F
"SPICE GIRLS - 2 BECOME 1.mp3";2 BECOME 1;SPICE GIRLS;F
