File Name;Song Title;Author;Gender
"Mary J. Blige, U2 - One - Radio Edit.mp3";One - Radio Edit;Mary J. Blige, U2;M+F
"Chris Young, Cassadee Pope - Think of You.mp3";Think of You;Chris Young, Cassadee Pope;M+F
"Jay Z, UGK - Big Pimpin'.mp3";Big Pimpin';Jay Z, UGK;m+
"Whitney Houston - Heartbreak Hotel (& Faith Evans, Kelly Price).mp3";Heartbreak Hotel (& Faith Evans, Kelly Price) ;Whitney Houston;F
"Frank Sinatra - My Way.mp3";My Way;Frank Sinatra;m
"Whitney Houston - I'm Your Baby Tonight.mp3";I'm Your Baby Tonight ;Whitney Houston;F
"Labelle - Lady Marmalade.mp3";Lady Marmalade;Labelle;F+
"Fifth Harmony - Sledgehammer.mp3";Sledgehammer;Fifth Harmony;F+
"Taylor Swift - Mean.mp3";Mean;Taylor Swift;F
"The Chainsmokers - Kanye - Don Diablo Remix.mp3";Kanye - Don Diablo Remix;The Chainsmokers;M+
"Eyes Set To Kill - The Secrets Between.mp3";The Secrets Between;Eyes Set To Kill;M+F
"James Ingram, Patti Austin, Quincy Jones - Baby, Come to Me.mp3";Baby, Come to Me;James Ingram, Patti Austin, Quincy Jones;M+F
"Us3 - Cantaloop (Flip Fantasia).mp3";Cantaloop (Flip Fantasia);Us3;m+
"TLC - Waterfalls.mp3";Waterfalls;TLC;F+
"Kevin Lyttle - Turn Me On.mp3";Turn Me On;Kevin Lyttle;m
"Louis Armstrong - A Kiss to Build a Dream On (Single Version).mp3";A Kiss to Build a Dream On (Single Version);Louis Armstrong;m
"Yellowcard - How I Go.mp3";How I Go;Yellowcard;M+F
"Porter Robinson, Madeon - Shelter (Slushii Remix).mp3";Shelter (Slushii Remix);Porter Robinson, Madeon;m+
"The Submarines - Shoelaces.mp3";Shoelaces;The Submarines;M+F
"Ed Sheeran - Perfect.mp3";Perfect;Ed Sheeran;m
"The Chiffons - One Fine Day.mp3";One Fine Day;The Chiffons;F+
"Dada Life - Kickout the Epic Motherfucker.mp3";Kickout the Epic Motherfucker;Dada Life;m+
"A Tribe Called Quest, Leaders of the New School - Scenario.mp3";Scenario;A Tribe Called Quest, Leaders of the New School;m+
"Ginuwine - Pony.mp3";Pony;Ginuwine;m
"Lizz Wright - Seems I’m Never Tired Lovin’ You.mp3";Seems I’m Never Tired Lovin’ You;Lizz Wright;f
"George Benson - This Masquerade.mp3";This Masquerade;George Benson;m
"Taylor Swift - I Knew You Were Trouble.mp3";I Knew You Were Trouble;Taylor Swift;F
"Brooks, Dunn, Reba McEntire - Cowgirls Don't Cry.mp3";Cowgirls Don’t Cry;Brooks, Dunn, Reba McEntire;M+F
"Expose - i'll say goodbye for the two of us.mp3";i'll say goodbye for the two of us;Exposé;F+
"Tim McGraw, Faith Hill - Its Your Love.mp3";It’s Your Love;Tim McGraw, Faith Hill;M+F
"Expose - Exposed to Love.mp3";Exposed to Love;Expose;F+
"Expose - Angel.mp3";Angel;Exposé;F+
"AJR, Louisa Johnson - Weak - feat. Louisa Johnson - Stay Strong Mix.mp3";Weak - feat. Louisa Johnson - Stay Strong Mix;AJR, Louisa Johnson;M+F
"The Sugababes - Freak Like Me.mp3";Freak Like Me;The Sugababes;F+
"Evanescence - Imperfection.mp3";Imperfection;Evanescence;M+F
"Expose - The Same Love.mp3";The Same Love;Exposé;F+
"Red Velvet - Dumb Dumb.mp3";Dumb Dumb;Red Velvet;F+
"K. Michelle - Either Way (feat. Chris Brown).mp3";Either Way (feat. Chris Brown);K. Michelle;f
